sleeping_time,timezone_of_analysis,date_of_analysis,analysis_fail,analysis_fail_reason
2015-03-01T15:35:02.000Z,Asia/Singapore,2015-02-28T16:00:00.000Z,null,null
2015-02-28T17:26:10.000Z,Asia/Singapore,2015-02-27T16:00:00.000Z,null,null
2015-02-27T17:31:28.000Z,Asia/Singapore,2015-02-26T16:00:00.000Z,null,null
2015-02-26T15:47:20.000Z,Asia/Singapore,2015-02-25T16:00:00.000Z,null,null
2015-02-25T16:27:30.000Z,Asia/Singapore,2015-02-24T16:00:00.000Z,null,null
2015-02-24T16:20:20.000Z,Asia/Singapore,2015-02-23T16:00:00.000Z,null,null
2015-02-23T16:37:26.000Z,Asia/Singapore,2015-02-22T16:00:00.000Z,null,null
2015-02-22T15:54:50.000Z,Asia/Singapore,2015-02-21T16:00:00.000Z,null,null
2015-02-21T15:55:59.000Z,Asia/Singapore,2015-02-20T16:00:00.000Z,null,null
2015-02-20T17:58:20.000Z,Asia/Singapore,2015-02-19T16:00:00.000Z,null,null
2015-02-19T16:49:26.000Z,Asia/Singapore,2015-02-18T16:00:00.000Z,null,null
2015-02-18T20:15:03.000Z,Asia/Singapore,2015-02-17T16:00:00.000Z,null,null
2015-02-17T14:59:32.000Z,Asia/Singapore,2015-02-16T16:00:00.000Z,null,null
2015-02-16T16:50:02.000Z,Asia/Singapore,2015-02-15T16:00:00.000Z,null,null
2015-02-15T20:13:53.000Z,Asia/Singapore,2015-02-14T16:00:00.000Z,null,null
2015-02-14T19:19:39.000Z,Asia/Singapore,2015-02-13T16:00:00.000Z,null,null
2015-02-13T18:25:49.000Z,Asia/Singapore,2015-02-12T16:00:00.000Z,null,null
2015-02-12T18:18:07.000Z,Asia/Singapore,2015-02-11T16:00:00.000Z,null,null
2015-02-11T16:11:59.000Z,Asia/Singapore,2015-02-10T16:00:00.000Z,null,null
2015-02-10T19:35:54.000Z,Asia/Singapore,2015-02-09T16:00:00.000Z,null,null
2015-02-09T17:29:08.000Z,Asia/Singapore,2015-02-08T16:00:00.000Z,null,null
2015-02-08T17:34:37.000Z,Asia/Singapore,2015-02-07T16:00:00.000Z,null,null
2015-02-07T14:56:43.000Z,Asia/Singapore,2015-02-06T16:00:00.000Z,null,null
2015-02-06T16:47:30.000Z,Asia/Singapore,2015-02-05T16:00:00.000Z,null,null
2015-02-05T12:59:57.000Z,Asia/Singapore,2015-02-04T16:00:00.000Z,null,null
2015-02-04T16:13:41.000Z,Asia/Singapore,2015-02-03T16:00:00.000Z,null,null
2015-02-03T20:59:28.000Z,Asia/Singapore,2015-02-02T16:00:00.000Z,null,null
2015-02-02T15:31:37.000Z,Asia/Singapore,2015-02-01T16:00:00.000Z,null,null
2015-02-01T16:14:50.000Z,Asia/Singapore,2015-01-31T16:00:00.000Z,null,null
2015-01-31T15:30:36.000Z,Asia/Singapore,2015-01-30T16:00:00.000Z,null,null
2015-01-30T15:07:19.000Z,Asia/Singapore,2015-01-29T16:00:00.000Z,null,null
2015-01-29T17:31:33.000Z,Asia/Singapore,2015-01-28T16:00:00.000Z,null,null
2015-01-28T15:38:50.000Z,Asia/Singapore,2015-01-27T16:00:00.000Z,null,null
2015-01-27T18:20:48.000Z,Asia/Singapore,2015-01-26T16:00:00.000Z,null,null
2015-01-26T15:37:22.000Z,Asia/Singapore,2015-01-25T16:00:00.000Z,null,null
2015-01-25T16:45:30.000Z,Asia/Singapore,2015-01-24T16:00:00.000Z,null,null
2015-01-24T12:59:04.000Z,Asia/Singapore,2015-01-23T16:00:00.000Z,null,null
2015-01-23T17:05:01.000Z,Asia/Singapore,2015-01-22T16:00:00.000Z,null,null
2015-01-22T18:40:54.000Z,Asia/Singapore,2015-01-21T16:00:00.000Z,null,null
2015-01-21T18:33:28.000Z,Asia/Singapore,2015-01-20T16:00:00.000Z,null,null
2015-01-20T15:28:16.000Z,Asia/Singapore,2015-01-19T16:00:00.000Z,null,null
2015-01-19T17:08:33.000Z,Asia/Singapore,2015-01-18T16:00:00.000Z,null,null
2015-01-18T15:59:34.000Z,Asia/Singapore,2015-01-17T16:00:00.000Z,null,null
2015-01-17T14:47:32.000Z,Asia/Singapore,2015-01-16T16:00:00.000Z,null,null
2015-01-16T16:24:42.000Z,Asia/Singapore,2015-01-15T16:00:00.000Z,null,null
2015-01-15T15:21:37.000Z,Asia/Singapore,2015-01-14T16:00:00.000Z,null,null
2015-01-14T19:02:25.000Z,Asia/Singapore,2015-01-13T16:00:00.000Z,null,null
2015-01-13T17:55:53.000Z,Asia/Singapore,2015-01-12T16:00:00.000Z,null,null
2015-01-12T18:56:34.000Z,Asia/Singapore,2015-01-11T16:00:00.000Z,null,null
2015-01-11T18:53:45.000Z,Asia/Singapore,2015-01-10T16:00:00.000Z,null,null
2015-01-10T12:59:21.000Z,Asia/Singapore,2015-01-09T16:00:00.000Z,null,null
2015-01-09T16:57:37.000Z,Asia/Singapore,2015-01-08T16:00:00.000Z,null,null
2015-01-08T15:58:54.000Z,Asia/Singapore,2015-01-07T16:00:00.000Z,null,null
2015-01-07T20:29:02.000Z,Asia/Singapore,2015-01-06T16:00:00.000Z,null,null
2015-01-06T17:55:29.000Z,Asia/Singapore,2015-01-05T16:00:00.000Z,null,null
2015-01-05T15:18:34.000Z,Asia/Singapore,2015-01-04T16:00:00.000Z,null,null
2015-01-04T16:57:11.000Z,Asia/Singapore,2015-01-03T16:00:00.000Z,null,null
2015-01-03T18:19:55.000Z,Asia/Singapore,2015-01-02T16:00:00.000Z,null,null
2015-01-02T19:10:46.000Z,Asia/Singapore,2015-01-01T16:00:00.000Z,null,null
2015-01-01T16:58:58.000Z,Asia/Singapore,2014-12-31T16:00:00.000Z,null,null
