wakeup_time,timezone_of_analysis,date_of_analysis,analysis_fail,analysis_fail_reason
2015-02-28T20:03:07.000Z,Asia/Singapore,2015-02-28T16:00:00.000Z,null,null
2015-02-28T01:00:26.000Z,Asia/Singapore,2015-02-27T16:00:00.000Z,null,null
2015-02-26T20:06:44.000Z,Asia/Singapore,2015-02-26T16:00:00.000Z,null,null
2015-02-26T03:06:06.000Z,Asia/Singapore,2015-02-25T16:00:00.000Z,null,null
2015-02-25T00:21:27.000Z,Asia/Singapore,2015-02-24T16:00:00.000Z,null,null
2015-02-24T00:53:54.000Z,Asia/Singapore,2015-02-23T16:00:00.000Z,null,null
2015-02-23T02:11:32.000Z,Asia/Singapore,2015-02-22T16:00:00.000Z,null,null
2015-02-21T20:02:10.000Z,Asia/Singapore,2015-02-21T16:00:00.000Z,null,null
2015-02-20T20:10:02.000Z,Asia/Singapore,2015-02-20T16:00:00.000Z,null,null
2015-02-20T00:00:20.000Z,Asia/Singapore,2015-02-19T16:00:00.000Z,null,null
2015-02-19T02:38:00.000Z,Asia/Singapore,2015-02-18T16:00:00.000Z,null,null
2015-02-18T01:13:30.000Z,Asia/Singapore,2015-02-17T16:00:00.000Z,null,null
2015-02-17T01:26:42.000Z,Asia/Singapore,2015-02-16T16:00:00.000Z,null,null
2015-02-16T01:23:39.000Z,Asia/Singapore,2015-02-15T16:00:00.000Z,null,null
2015-02-15T00:02:56.000Z,Asia/Singapore,2015-02-14T16:00:00.000Z,null,null
2015-02-13T22:16:44.000Z,Asia/Singapore,2015-02-13T16:00:00.000Z,null,null
2015-02-12T21:13:33.000Z,Asia/Singapore,2015-02-12T16:00:00.000Z,null,null
2015-02-12T01:39:30.000Z,Asia/Singapore,2015-02-11T16:00:00.000Z,null,null
2015-02-10T21:02:57.000Z,Asia/Singapore,2015-02-10T16:00:00.000Z,null,null
2015-02-10T02:48:59.000Z,Asia/Singapore,2015-02-09T16:00:00.000Z,null,null
2015-02-09T01:29:27.000Z,Asia/Singapore,2015-02-08T16:00:00.000Z,null,null
2015-02-07T23:36:10.000Z,Asia/Singapore,2015-02-07T16:00:00.000Z,null,null
2015-02-06T20:10:27.000Z,Asia/Singapore,2015-02-06T16:00:00.000Z,null,null
2015-02-05T20:19:21.000Z,Asia/Singapore,2015-02-05T16:00:00.000Z,null,null
2015-02-05T02:00:02.000Z,Asia/Singapore,2015-02-04T16:00:00.000Z,null,null
2015-02-03T21:00:02.000Z,Asia/Singapore,2015-02-03T16:00:00.000Z,null,null
2015-02-03T01:41:15.000Z,Asia/Singapore,2015-02-02T16:00:00.000Z,null,null
2015-02-02T01:25:29.000Z,Asia/Singapore,2015-02-01T16:00:00.000Z,null,null
2015-01-31T21:00:03.000Z,Asia/Singapore,2015-01-31T16:00:00.000Z,null,null
2015-01-30T20:58:54.000Z,Asia/Singapore,2015-01-30T16:00:00.000Z,null,null
2015-01-29T21:35:01.000Z,Asia/Singapore,2015-01-29T16:00:00.000Z,null,null
2015-01-28T22:11:04.000Z,Asia/Singapore,2015-01-28T16:00:00.000Z,null,null
2015-01-28T00:23:47.000Z,Asia/Singapore,2015-01-27T16:00:00.000Z,null,null
2015-01-27T02:00:53.000Z,Asia/Singapore,2015-01-26T16:00:00.000Z,null,null
2015-01-26T01:03:38.000Z,Asia/Singapore,2015-01-25T16:00:00.000Z,null,null
2015-01-24T22:35:33.000Z,Asia/Singapore,2015-01-24T16:00:00.000Z,null,null
2015-01-24T00:07:59.000Z,Asia/Singapore,2015-01-23T16:00:00.000Z,null,null
2015-01-22T23:46:39.000Z,Asia/Singapore,2015-01-22T16:00:00.000Z,null,null
2015-01-21T23:13:15.000Z,Asia/Singapore,2015-01-21T16:00:00.000Z,null,null
2015-01-20T21:29:13.000Z,Asia/Singapore,2015-01-20T16:00:00.000Z,null,null
2015-01-20T01:01:49.000Z,Asia/Singapore,2015-01-19T16:00:00.000Z,null,null
2015-01-18T22:17:43.000Z,Asia/Singapore,2015-01-18T16:00:00.000Z,null,null
2015-01-17T21:33:18.000Z,Asia/Singapore,2015-01-17T16:00:00.000Z,null,null
2015-01-17T00:17:23.000Z,Asia/Singapore,2015-01-16T16:00:00.000Z,null,null
2015-01-15T21:46:22.000Z,Asia/Singapore,2015-01-15T16:00:00.000Z,null,null
2015-01-15T00:00:51.000Z,Asia/Singapore,2015-01-14T16:00:00.000Z,null,null
2015-01-13T20:20:25.000Z,Asia/Singapore,2015-01-13T16:00:00.000Z,null,null
2015-01-13T00:09:17.000Z,Asia/Singapore,2015-01-12T16:00:00.000Z,null,null
2015-01-12T01:04:56.000Z,Asia/Singapore,2015-01-11T16:00:00.000Z,null,null
2015-01-10T20:20:17.000Z,Asia/Singapore,2015-01-10T16:00:00.000Z,null,null
2015-01-10T00:08:47.000Z,Asia/Singapore,2015-01-09T16:00:00.000Z,null,null
2015-01-08T22:42:04.000Z,Asia/Singapore,2015-01-08T16:00:00.000Z,null,null
2015-01-08T00:34:50.000Z,Asia/Singapore,2015-01-07T16:00:00.000Z,null,null
2015-01-07T00:43:30.000Z,Asia/Singapore,2015-01-06T16:00:00.000Z,null,null
2015-01-06T02:14:37.000Z,Asia/Singapore,2015-01-05T16:00:00.000Z,null,null
2015-01-05T01:10:45.000Z,Asia/Singapore,2015-01-04T16:00:00.000Z,null,null
2015-01-03T21:03:35.000Z,Asia/Singapore,2015-01-03T16:00:00.000Z,null,null
2015-01-02T20:07:39.000Z,Asia/Singapore,2015-01-02T16:00:00.000Z,null,null
2015-01-02T01:04:13.000Z,Asia/Singapore,2015-01-01T16:00:00.000Z,null,null
2015-01-01T00:10:30.000Z,Asia/Singapore,2014-12-31T16:00:00.000Z,null,null
